date,cloud_pct,EVI,GNDVI,MSAVI,NDMI,NDRE,NDVI,NDWI,SAVI
2024-11-02,3.65,0.45527907953750696,0.4950923867908545,0.3412646177091015,0.1329620872731786,0.36038452577592556,0.525288565116312,-0.4950923867908545,0.36070216567396285
2024-11-02,3.38,0.455986969675089,0.4938172422757772,0.34090527245765045,0.13275283331489138,0.35633713419447066,0.5250005909504073,-0.4938172422757772,0.36041890665873827
2024-11-05,8.87,0.34109351837205965,0.2499770167992451,0.18385468053102294,0.09822798108922749,0.1907979844101655,0.29134234115111735,-0.2499770167992451,0.20317717419454467
2024-11-05,8.75,0.3412760598911194,0.25000376232421395,0.1841314735848211,0.09796631917800235,0.1908665785644627,0.2916485648546638,-0.25000376232421395,0.20345570447249597
2024-11-07,0.61,0.4064870678467319,0.5901917919499962,0.3681129629000923,0.08191674776528954,0.379528808367061,0.6032743051319763,-0.5901917919499962,0.3869047228682754
2024-11-07,0.56,0.4044310494425577,0.5907790421356063,0.36754632347549937,0.08166450698575733,0.3715208587882223,0.6030129153758926,-0.5907790421356063,0.38650651281808773
2024-11-10,1.68,0.3624459877317847,0.5666577938480496,0.34665339840506504,0.09040399084957357,0.32675221009705263,0.5584089524760254,-0.5666577938480496,0.36794080517718175
2024-11-10,1.97,0.3624977888872778,0.5660326814768759,0.34614243244937837,0.08993358222892718,0.3255580686196795,0.556817371805637,-0.5660326814768759,0.36744192408013343
2024-11-12,3.11,0.43809884190775567,0.5184855533012078,0.35469227108446716,0.1017719280045352,0.3199753217453557,0.5226791475208139,-0.5184855533012078,0.37220805501790033
2024-11-12,2.85,0.4385741742376665,0.5163427495172511,0.3539251918066873,0.10007159863372365,0.31854545448326355,0.5216016771640487,-0.5163427495172511,0.3715027888183693
2024-11-15,13.04,0.4034896515185977,0.6174568037279462,0.3643442914874431,0.11250572296206042,0.3988313189122269,0.6124343688870231,-0.6174568037279462,0.3844736781179951
2024-11-15,11.58,0.40293248552130645,0.6153043888664533,0.36376313336233407,0.1076085091586769,0.3980514214430611,0.6111893965069823,-0.6153043888664533,0.38394643048259336
2024-11-17,1.23,0.3549837660380216,0.4918709947030757,0.3007371079270788,0.07737795259059699,0.29046281262756807,0.4896339524879167,-0.4918709947030757,0.32404310161396427
2024-11-17,1.19,0.35429010993005416,0.4900803274363731,0.3001518903367177,0.07629603265945684,0.2888170611252912,0.4886057315704159,-0.4900803274363731,0.3234765519519169
2024-11-20,2.16,0.33454016551381355,0.48713441478823205,0.29720969928004864,0.08335301945935499,0.26435349517716417,0.4715442718810014,-0.48713441478823205,0.31961448834414263
2024-11-20,2.18,0.33352288611455394,0.48841180046317645,0.2971739689154116,0.08210314149465268,0.26248986598462626,0.47146773859476393,-0.48841180046317645,0.31959413424056315
2024-11-22,1.73,0.34695434225766286,0.4597993870083756,0.28426769144532094,0.06840057813963497,0.2508265410421438,0.43304708033496503,-0.4597993870083756,0.30510574427856996
2024-11-22,1.79,0.34592501060939074,0.45927229295086236,0.28390501931400697,0.0656547055713803,0.2494808051243993,0.43228455672459,-0.45927229295086236,0.3047245895843036
2024-11-25,1.71,0.2920836124281541,0.6302233952305475,0.3064528391360944,0.03222463599480088,0.2896989923518835,0.5325014514733116,-0.6302233952305475,0.332313198894332
2024-11-25,1.92,0.2914091321619539,0.6271991639651789,0.30528995094964223,0.028878754675334677,0.28536361160106705,0.5299885205271434,-0.6271991639651789,0.3311530858852739
2024-11-30,0.03,0.26099153284873144,0.5183702598232341,0.24353200991175158,-0.015372411620918531,0.261817983199819,0.4526854912917697,-0.5183702598232341,0.2715672196664245
2024-11-30,0.04,0.261502834864626,0.5209553469362186,0.24486230235279807,-0.01818065266466982,0.26136857773872396,0.4546131702924686,-0.5209553469362186,0.27290118698142674
2024-12-02,0.12,0.280299914631632,0.4196973758821253,0.22662981523494602,-0.0430820269879582,0.20678205647302358,0.3728056605236796,-0.4196973758821253,0.24959246051000927
2024-12-02,0.11,0.2796479608149474,0.41918893184745476,0.2262457423431666,-0.044880254633034,0.20639437810765535,0.3718623973087216,-0.41918893184745476,0.24916656546556915
2024-12-07,0.62,0.23514658125344554,0.4669672016184373,0.21928591626472685,-0.09453726381616957,0.2196103518285058,0.35307034566207923,-0.4669672016184373,0.24092324659817763
2024-12-07,0.76,0.23596520737849203,0.4676087117171749,0.21998873690958393,-0.09404583847613379,0.22192115613618207,0.3541591831214458,-0.4676087117171749,0.24165770187958016
2024-12-10,0.15,0.20691269849766258,0.3404235234486065,0.16480673435028942,-0.08981190976939356,0.1644722062112587,0.27473273631820677,-0.3404235234486065,0.1845130786676176
2024-12-10,0.15,0.2071245300128396,0.3395878458610691,0.164796441411944,-0.08916530723376283,0.16332163894405596,0.2746733609567709,-0.3395878458610691,0.1844930062733673
2024-12-10,0.5,0.2162703411119425,0.3200835191201994,0.16660607677783984,-0.08345641352142467,0.15704364652563124,0.26727252087290754,-0.3200835191201994,0.18517808660989166
2024-12-10,0.5,0.21624486788981387,0.317696435850777,0.16588572066969576,-0.08457647477787407,0.1557910915319947,0.26593261097321425,-0.317696435850777,0.18437741793473555
2024-12-12,0.02,0.2462720400731861,0.42546411849516164,0.20635726988409217,-0.11258666386217715,0.21498504974708654,0.3462647278365981,-0.42546411849516164,0.22906596096924334
2024-12-12,0.02,0.24624012974195536,0.4250040739666009,0.20641729062610617,-0.11271276060396164,0.21473779683194302,0.34623129259854973,-0.4250040739666009,0.2291017893462092
2024-12-15,0.02,0.22593870140805553,0.35284687604455717,0.17601709812007804,-0.09484012726331545,0.1919166252694563,0.295008698845992,-0.35284687604455717,0.19676075861006107
2024-12-15,0.02,0.22619861617171727,0.35230877208396055,0.17621375659266683,-0.09370616656820899,0.19147269050476257,0.29519472400263347,-0.35230877208396055,0.1969541862800527
2024-12-17,0.06,0.211733484941496,0.43803490792424704,0.19455277975758006,-0.1305407521858896,0.17919039715185317,0.3341875778564009,-0.43803490792424704,0.21743058519342
2024-12-17,0.06,0.21184157150923863,0.4347098099327864,0.19358151102069918,-0.13144604602963725,0.17842339717572286,0.3326865573461101,-0.4347098099327864,0.21640748865818896
2024-12-20,0.76,0.20980596104935523,0.515617056541898,0.2077430988858583,-0.10113240090386635,0.218526974969119,0.3788907130053518,-0.515617056541898,0.23340014576608392
2024-12-20,1.05,0.20941251995669158,0.5150422374457275,0.20748265331155513,-0.09833116940647166,0.21810647210345901,0.37805909147359457,-0.5150422374457275,0.23307987114848813
2024-12-22,0.03,0.21095809002894825,0.34040714146350015,0.1604759537162488,-0.10953793737693954,0.16724999369600813,0.2853895872482886,-0.34040714146350015,0.1818008274639175
2024-12-22,0.03,0.21081158558909038,0.33845285926447555,0.1597278554021524,-0.10893736029007678,0.1669950016789531,0.2840862629984158,-0.33845285926447555,0.18098476500057337
