date,cloud_pct,NDVI,NDWI,NDRE,EVI,SAVI,MSAVI,NDMI,GNDVI
2025-11-05,0.034743,0.645084413928483,-0.583325066925792,0.4009288587515347,0.4057851637330523,0.38050260986418527,0.3552672647233715,0.2758886298197296,0.583325066925792
2025-11-05,0.035494,0.644432548637595,-0.583122305500263,0.40070616467839115,0.40632540413970497,0.38049419928015665,0.3552952153532579,0.2757558590850988,0.583122305500263
2025-11-07,0.025121,0.6760850483203407,-0.6332766117979759,0.44236220555744765,0.4222563123634321,0.38976116609458344,0.3653908367606123,0.2413631784563748,0.6332766117979759
2025-11-07,0.026617,0.670593640537205,-0.62617596408274,0.4416697591581827,0.4230449820138168,0.3874068767617789,0.3628272818693781,0.2408025350680602,0.62617596408274
2025-11-07,0.01722,0.6875814395012023,-0.6453355724176371,0.44929036017646234,0.3912310504358617,0.37907216697120594,0.3517862958106913,0.2530539572807837,0.6453355724176371
2025-11-07,0.014711,0.6872296718255756,-0.6450683402109728,0.448921514256092,0.3914255986677706,0.3790896664522361,0.3518255359189358,0.2527770364345352,0.6450683402109728
2025-11-10,0.038231,0.6609185241577579,-0.6632419674752201,0.41516727370770307,0.3818045485163861,0.381350314336237,0.35680469419532584,0.2467506660634503,0.6632419674752201
2025-11-10,0.033683,0.6603297123088949,-0.6626369538259926,0.4146540493298709,0.38201322841879637,0.38126629942713414,0.3567336112678122,0.24657762494670238,0.6626369538259926
2025-11-12,0.057101,0.5682450870367021,-0.5977157544743362,0.32489780067973417,0.338773466514079,0.34082977869241476,0.3144751360838431,0.17664104017489102,0.5977157544743362
2025-11-12,0.053782,0.5646432039114716,-0.5920213907570681,0.32378745215389243,0.339743432312829,0.3393358606679883,0.3129821292666329,0.17645573594303424,0.5920213907570681
2025-11-14,0.175868,0.46999710006108714,-0.5105657571626988,0.2807215243649453,0.2967511233053698,0.28594815998374495,0.2586910079501696,0.13552216653439966,0.5105657571626988
2025-11-14,0.13426,0.47108382995695314,-0.5121202337651262,0.28104720008291717,0.2970955550594495,0.286841871018119,0.2596248838365573,0.13573009732084457,0.5121202337651262
2025-11-15,0.023139,0.41200109394856915,-0.4189720085311442,0.25163987654831593,0.28525707114093707,0.24767364087652718,0.22058632602108524,0.146974651239777,0.4189720085311442
2025-11-15,0.02228,0.41211715889370776,-0.419232976675447,0.252093323572966,0.285055349045895,0.24762369383455235,0.2205204628391324,0.14694018211400303,0.419232976675447
2025-11-17,0.147003,0.42137373919940685,-0.4919444806350625,0.24010742934550613,0.27301224633683824,0.26086416367326476,0.2345652829704274,0.08705944525836018,0.4919444806350625
2025-11-17,0.141007,0.420536635235417,-0.4908972303088651,0.24035855882044005,0.27345336645958407,0.26075816463472196,0.23453222419783046,0.08735432880533897,0.4908972303088651
2025-11-20,18.372267,0.0487880679874909,0.007083765672381907,0.007972092650316275,-0.17340456796503287,0.04772748473057852,0.047490180840225646,0.11012857755289297,-0.007083765672381907
2025-11-20,17.521289,0.049642016108047644,0.004777014194999024,0.008346612967079715,-0.03385021147934116,0.04851062561342627,0.04824906998083594,0.10897035666374585,-0.004777014194999024
2025-11-22,1.702409,0.305607001079208,-0.4031546043315252,0.15620244876968845,0.20287460233217036,0.19957806084558208,0.17799359421015196,-0.0055325248693004125,0.4031546043315252
2025-11-22,1.682677,0.30203377424222044,-0.39599318275785916,0.15608189769041653,0.20353793145353044,0.19784313973402004,0.17647984859055438,-0.004917635014234053,0.39599318275785916
2025-11-25,0.126891,0.3474562063753654,-0.51786447955605,0.21274999153365498,0.1760650974180563,0.2023603336402655,0.17659909825485784,-0.061619557814651525,0.51786447955605
2025-11-25,0.131509,0.3466571792766643,-0.5184529564668792,0.2124306086161468,0.175771453074834,0.2020023728962776,0.1762841033010351,-0.0614836397588672,0.5184529564668792
2025-12-02,3.53565,0.2489507736096104,-0.46454853345508623,0.1680309771811524,0.11062675310278981,0.12912771593983044,0.10907743596036015,-0.24939429275566963,0.46454853345508623
2025-12-02,3.693265,0.24827436704875425,-0.4625861123005419,0.166331806987999,0.11079431691130895,0.1290394112069932,0.10903348140644847,-0.24845146849128621,0.4625861123005419
2025-12-04,0.026594,0.16603773705110264,-0.2754014140169121,0.09973298277994741,0.0915968492241397,0.09180683928180242,0.07712351664979311,-0.2010965712016519,0.2754014140169121
2025-12-04,0.028398,0.16586850712472864,-0.2740902046871335,0.09986783392592441,0.09174836491247791,0.09173137479633363,0.07705831483664824,-0.19982082262629772,0.2740902046871335
2025-12-05,0.021335,0.18279764284982186,-0.32179419834143674,0.11971756464992486,0.08938096973026369,0.09755324713208186,0.08156550596505696,-0.20662230049797461,0.32179419834143674
2025-12-05,0.021028,0.18383154390663142,-0.3226445211600908,0.11977954607925974,0.08999140213388236,0.09814494351527193,0.08207543287526976,-0.20607759263023162,0.3226445211600908
2025-12-10,0.11999,0.20425909086784216,-0.40983035565504566,0.13197199381333735,0.08097774933818348,0.09554250013712047,0.07777058514662559,-0.24498974272691906,0.40983035565504566
2025-12-10,0.108271,0.20305295216970967,-0.403442082216712,0.13093106322864737,0.08138395808399179,0.09538842758632493,0.07768978671087194,-0.2427576370189724,0.403442082216712
